Datetime,Power_kW,temp_C,HR,solarRad_W/m2,Holiday,Power-1,Hour,Week Day,Month
2018-02-01 10:00:00,284.7264875,11.691666666666668,62.13166666666666,133.34833333333336,0.0,254.2800351,10,3,2
2018-02-01 11:00:00,299.7337161,11.806666666666665,53.876666666666665,288.925,0.0,284.7264875,11,3,2
2018-02-01 12:00:00,286.1763086,12.418333333333331,47.560833333333335,417.8500000000001,0.0,299.7337161,12,3,2
2018-02-01 13:00:00,289.2038331,12.144166666666669,50.185833333333335,345.31666666666666,0.0,286.1763086,13,3,2
2018-02-01 14:00:00,309.1304489,12.119166666666667,47.93083333333333,401.1666666666667,0.0,289.2038331,14,3,2
2018-02-01 15:00:00,305.5415818,11.865833333333335,51.44166666666666,398.1833333333332,0.0,309.1304489,15,3,2
2018-02-01 16:00:00,288.892604,11.335,54.370000000000005,164.47083333333333,0.0,305.5415818,16,3,2
2018-02-01 17:00:00,256.8326579,10.852500000000001,59.03583333333333,51.9835,0.0,288.892604,17,3,2
2018-02-01 18:00:00,186.1658617,9.895833333333334,64.25583333333334,1.9063333333333334,0.0,256.8326579,18,3,2
2018-02-01 19:00:00,153.5768052,9.108333333333333,69.60083333333331,1.6088333333333331,0.0,186.1658617,19,3,2
2018-02-01 20:00:00,131.4931436,9.086666666666668,66.77166666666666,0.928,0.0,153.5768052,20,3,2
2018-03-01 07:00:00,146.9650182,11.790000000000001,89.48333333333333,6.887083333333333,0.0,131.4931436,7,3,3
2018-03-01 08:00:00,207.8256908,12.125,88.65833333333335,46.95416666666667,0.0,146.9650182,8,3,3
2018-03-01 09:00:00,252.5198221,12.6175,85.075,153.74999999999997,0.0,207.8256908,9,3,3
2018-03-01 10:00:00,282.3000726,12.432500000000003,84.63333333333334,174.49166666666667,0.0,252.5198221,10,3,3
2018-03-01 11:00:00,297.4925317,12.471666666666666,85.60833333333333,372.07500000000005,0.0,282.3000726,11,3,3
2018-03-01 12:00:00,270.5564589,12.050833333333335,77.125,349.3416666666667,0.0,297.4925317,12,3,3
2018-03-01 13:00:00,279.8493789,12.380833333333333,67.79583333333333,468.0416666666667,0.0,270.5564589,13,3,3
2018-03-01 14:00:00,288.1288683,12.793333333333331,56.73333333333333,474.18333333333334,0.0,279.8493789,14,3,3
2018-03-01 15:00:00,288.6659321,12.56333333333333,54.63249999999999,332.1083333333333,0.0,288.1288683,15,3,3
2018-03-01 16:00:00,278.4479061,12.104999999999999,53.80833333333334,204.6833333333333,0.0,288.6659321,16,3,3
2018-03-01 17:00:00,245.1306949,11.715833333333334,55.96416666666667,78.28333333333335,0.0,278.4479061,17,3,3
2018-03-01 18:00:00,198.0991012,11.348333333333331,57.33583333333334,8.218916666666669,0.0,245.1306949,18,3,3
2018-03-01 19:00:00,177.0500095,11.093333333333334,55.82916666666667,0.6025,0.0,198.0991012,19,3,3
2018-03-01 20:00:00,138.0810704,11.259166666666667,59.125,0.5492500000000001,0.0,177.0500095,20,3,3
2018-03-01 21:00:00,137.5879596,11.35,58.923333333333325,0.5330833333333334,0.0,138.0810704,21,3,3
2018-03-01 22:00:00,138.8242947,11.452499999999999,59.15083333333333,0.5031666666666667,0.0,137.5879596,22,3,3
2018-03-01 23:00:00,137.8405847,11.62,61.97333333333333,0.676,0.0,138.8242947,23,3,3
2018-04-01 07:00:00,149.3767821,9.866666666666669,81.28333333333332,109.02166666666666,0.0,137.8405847,7,6,4
2018-04-01 08:00:00,213.7840432,11.118333333333332,69.40583333333333,307.15833333333336,0.0,149.3767821,8,6,4
2018-04-01 09:00:00,251.7793187,12.158333333333333,65.06249999999999,468.45000000000005,0.0,213.7840432,9,6,4
2018-04-01 10:00:00,297.5017409,13.847500000000002,58.295000000000016,418.3416666666667,0.0,251.7793187,10,6,4
2018-04-01 11:00:00,314.3254842,16.209999999999997,44.66,807.475,0.0,297.5017409,11,6,4
2018-04-01 12:00:00,285.9282881,17.21,36.40083333333333,859.6666666666666,0.0,314.3254842,12,6,4
2018-04-01 13:00:00,283.2990615,16.844166666666666,36.6775,741.8833333333333,0.0,285.9282881,13,6,4
2018-04-01 14:00:00,294.6071219,15.9275,41.5875,579.9499999999999,0.0,283.2990615,14,6,4
2018-04-01 15:00:00,309.0389848,15.42,45.82249999999999,480.7083333333333,0.0,294.6071219,15,6,4
2018-04-01 16:00:00,299.0800722,15.076666666666666,47.28916666666666,303.0666666666667,0.0,309.0389848,16,6,4
2018-04-01 17:00:00,279.1275032,14.473333333333331,55.89249999999999,283.40833333333336,0.0,299.0800722,17,6,4
2018-04-01 18:00:00,236.3036767,13.40916666666667,66.21833333333332,49.44216666666666,0.0,279.1275032,18,6,4
2018-04-01 19:00:00,195.7658248,13.109166666666665,73.65416666666667,2.33725,0.0,236.3036767,19,6,4
2018-04-01 20:00:00,150.783906,12.792499999999999,79.35,2.7944999999999998,0.0,195.7658248,20,6,4
2018-04-01 21:00:00,143.1429909,12.655833333333334,82.03333333333333,2.1300833333333333,0.0,150.783906,21,6,4
2018-04-01 22:00:00,131.5559336,12.554166666666667,84.25833333333334,2.3100833333333335,0.0,143.1429909,22,6,4
2018-05-01 07:00:00,158.2146839,11.494166666666667,61.98166666666666,321.40833333333336,0.0,131.5559336,7,1,5
2018-05-01 08:00:00,210.5099633,12.042499999999999,53.50416666666666,523.025,0.0,158.2146839,8,1,5
2018-05-01 09:00:00,262.5607803,13.0025,48.642500000000005,720.9333333333334,0.0,210.5099633,9,1,5
2018-05-01 10:00:00,301.4432785,13.731666666666667,40.54416666666667,872.75,0.0,262.5607803,10,1,5
2018-05-01 11:00:00,302.0416672,14.275,39.140833333333326,867.5416666666666,0.0,301.4432785,11,1,5
2018-05-01 12:00:00,278.199467,14.673333333333334,36.236666666666665,928.5,0.0,302.0416672,12,1,5
2018-05-01 13:00:00,304.516849,14.69666666666667,36.06916666666667,874.0333333333333,0.0,278.199467,13,1,5
2018-05-01 14:00:00,358.1840899,14.475000000000001,37.80583333333333,561.1833333333333,0.0,304.516849,14,1,5
2018-05-01 15:00:00,359.7567701,14.635833333333332,38.05166666666667,681.2333333333333,0.0,358.1840899,15,1,5
2018-05-01 16:00:00,298.4021495,14.020000000000001,39.73166666666666,500.5416666666667,0.0,359.7567701,16,1,5
2018-05-01 17:00:00,274.4647178,13.260833333333332,42.214166666666664,277.95,0.0,298.4021495,17,1,5
2018-05-01 18:00:00,212.6251491,12.096666666666666,50.56916666666666,93.99833333333335,0.0,274.4647178,18,1,5
2018-05-01 19:00:00,184.5268334,11.47166666666667,56.38416666666666,9.938,0.0,212.6251491,19,1,5
2018-05-01 20:00:00,143.0299689,11.3525,61.22583333333333,0.653,0.0,184.5268334,20,1,5
2018-06-01 09:00:00,134.7146892,14.605833333333335,57.185,530.8583333333333,0.0,143.0299689,9,4,6
2018-06-01 10:00:00,133.5907482,15.6725,50.955833333333324,632.275,0.0,134.7146892,10,4,6
2018-06-01 11:00:00,136.6124123,15.894999999999998,52.21333333333334,618.9250000000001,0.0,133.5907482,11,4,6
2018-06-01 21:00:00,135.0960338,14.198333333333332,69.45750000000001,4.356083333333333,0.0,136.6124123,21,4,6
2018-06-01 22:00:00,132.6183404,14.241666666666665,70.18083333333334,4.6545000000000005,0.0,135.0960338,22,4,6
2018-06-01 23:00:00,134.9658492,14.264166666666666,71.325,4.374416666666668,0.0,132.6183404,23,4,6
2018-07-01 00:00:00,135.6257721,17.286666666666665,80.06666666666668,1.74175,0.0,134.9658492,0,6,7
2018-07-01 01:00:00,137.9006538,17.18923076923077,81.12307692307694,1.3883846153846153,0.0,135.6257721,1,6,7
2018-07-01 02:00:00,134.3697628,17.02916666666667,82.18333333333332,1.7255833333333335,0.0,137.9006538,2,6,7
2018-07-01 03:00:00,134.8630829,16.874166666666664,82.33333333333333,2.115583333333334,0.0,134.3697628,3,6,7
2018-07-01 04:00:00,135.0177556,16.905,82.32499999999999,1.746416666666667,0.0,134.8630829,4,6,7
2018-07-01 05:00:00,136.1804171,16.867500000000003,82.89166666666667,1.769416666666667,0.0,135.0177556,5,6,7
2018-07-01 06:00:00,137.5948665,16.805,81.89166666666667,8.165833333333333,0.0,136.1804171,6,6,7
2018-07-01 07:00:00,136.1326967,16.8525,79.25000000000001,50.76916666666667,0.0,137.5948665,7,6,7
2018-07-01 12:00:00,140.8940624,19.638333333333335,61.41,813.2166666666667,0.0,136.1326967,12,6,7
2018-07-01 13:00:00,130.3746444,20.163333333333338,58.9275,945.1583333333333,0.0,140.8940624,13,6,7
2018-07-01 14:00:00,170.826474,19.85916666666667,57.550000000000004,919.7333333333332,0.0,130.3746444,14,6,7
2018-07-01 15:00:00,184.7796678,19.635833333333334,60.968333333333334,640.375,0.0,170.826474,15,6,7
2018-07-01 16:00:00,192.7858114,18.9575,67.80583333333334,341.4166666666667,0.0,184.7796678,16,6,7
2018-07-01 17:00:00,198.5394684,18.3325,71.63333333333334,244.09166666666667,0.0,192.7858114,17,6,7
2018-07-01 18:00:00,194.4733973,17.99833333333333,75.44166666666666,127.25833333333333,0.0,198.5394684,18,6,7
2018-07-01 19:00:00,139.2024998,17.7775,78.26666666666668,76.42083333333333,0.0,194.4733973,19,6,7
2018-07-01 20:00:00,136.2329514,17.694166666666664,78.44166666666668,34.50749999999999,0.0,139.2024998,20,6,7
2018-07-01 21:00:00,133.9444652,17.41333333333333,79.08333333333333,2.5880833333333335,0.0,136.2329514,21,6,7
2018-08-01 06:00:00,130.2817152,16.595,71.2975,7.323833333333334,0.0,133.9444652,6,2,8
2018-08-01 07:00:00,157.9882213,17.021666666666665,70.50416666666666,110.99000000000001,0.0,130.2817152,7,2,8
2018-08-01 08:00:00,243.8606625,18.11,67.23333333333333,299.27500000000003,0.0,157.9882213,8,2,8
2018-08-01 09:00:00,301.6257881,19.84,62.19666666666666,499.1166666666666,0.0,243.8606625,9,2,8
2018-08-01 10:00:00,342.0734317,22.021666666666665,55.185,675.1166666666667,0.0,301.6257881,10,2,8
2018-08-01 11:00:00,357.6319565,24.054999999999996,48.93083333333334,819.25,0.0,342.0734317,11,2,8
2018-08-01 12:00:00,327.5383839,26.325833333333335,43.806666666666665,904.0,0.0,357.6319565,12,2,8
2018-08-01 13:00:00,347.2795599,27.989166666666662,40.2225,936.6666666666666,0.0,327.5383839,13,2,8
2018-08-01 14:00:00,357.2181704,30.03916666666667,34.266666666666666,919.5833333333334,0.0,347.2795599,14,2,8
